ID,KIT,CONCENTRATION,A260.280,A260.230
1,KE016,1,1.78,1.33,0.53
2,KE016,2,9.41,1.82,1.48
3,KE034,1,20.73,1.59,0.71
4,KE034,2,8.81,1.61,1.41
5,KE038,1,1.85,1.60,0.48
6,KE038,2,11.14,1.95,1.43
7,KE047,1,2.74,1.92,0.56
8,KE047,2,7.13,1.55,1.14
9,KE017,1,14.37,1.53,0.70
10,KE017,2,8.38,2.21,1.88
11,KE014,1,3.01,2.80,0.47
12,KE014,2,12.35,2.03,1.99
13,KE067,1,13.69,1.82,1.68
14,KE067,2,16.31,2.16,1.53
15,KE050,1,5.12,2.42,1.22
16,KE050,2,5.25,2.25,0.92
17,KE059,1,4.33,1.41,1.08
18,KE059,2,7.67,1.97,1.08
19,KE068,1,8.67,2.02,1.73
20,KE068,2,28.66,2.25,1.52
21,KE008,1,6.54,1.60,1.21
22,KE008,2,25.03,2.05,1.51
23,KE023,1,5.98,2.02,1.13
24,KE023,2,10.34,1.82,1.3
25,KE025,1,3.57,1.44,0.82
26,KE025,2,8.53,1.7,1.8
27,KE026,1,2.54,9.21,0.69
28,KE026,2,16.35,1.92,1.51
29,KE021,1,12.15,2.02,1.67
30,KE021,2,4.59,2.52,0.34
31,KE069,1,10.7,1.97,1.77
32,KE069,2,6.18,3.63,1.29
33,KE029,1,1.99,4.96,0.60
34,KE029,2,18.26,1.72,0.92
35,KE032,1,5.47,2.13,1.14
36,KE032,2,11.5,1.69,1.59
37,KE045,1,3.05,2.45,0.88
38,KE045,2,13.68,1.89,1.4
39,KE039,1,4.81,1.96,1.21
40,KE039,2,13.79,2.1,1.64
